Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,TotalTests
Timor-Leste,Asia,1320812.0,25,3792.590425531915,24.0,1.0,4238.0
Turkey,Asia,84428331.0,237265,5798.0,220546.0,10921.0,5081802.0
UAE,Asia,9902079.0,61845,354.0,55739.0,5752.0,5262658.0
Uzbekistan,Asia,33516027.0,28315,175.0,19291.0,8849.0,1377915.0
Vietnam,Asia,97425470.0,747,10.0,392.0,345.0,482456.0
Yemen,Asia,29886897.0,1768,508.0,898.0,362.0,120.0
Australia,Australia/Oceania,25528864.0,19890,255.0,10941.0,8694.0,4631419.0
Fiji,Australia/Oceania,897095.0,27,1.0,18.0,8.0,6693.0
French Polynesia,Australia/Oceania,281072.0,64,3792.590425531915,62.0,2.0,5849.0
New Caledonia,Australia/Oceania,285769.0,22,3792.590425531915,22.0,0.0,11099.0
New Zealand,Australia/Oceania,5002100.0,1569,22.0,1524.0,23.0,486943.0
Papua New Guinea,Australia/Oceania,8963009.0,163,3.0,53.0,107.0,10808.0
Albania,Europe,2877470.0,6016,188.0,3155.0,2673.0,38997.0
Andorra,Europe,77278.0,944,52.0,828.0,64.0,3750.0
Austria,Europe,9011577.0,21696,719.0,19596.0,1381.0,937275.0
Belarus,Europe,9449001.0,68503,580.0,63756.0,4167.0,1344303.0
Belgium,Europe,11594739.0,71158,9859.0,17661.0,43638.0,1767120.0
Bosnia and Herzegovina,Europe,3278650.0,13396,384.0,7042.0,5970.0,147021.0
Bulgaria,Europe,6942854.0,13014,435.0,7374.0,5205.0,294087.0
Channel Islands,Europe,174022.0,597,47.0,533.0,17.0,30721.0
Croatia,Europe,4102577.0,5404,155.0,4688.0,561.0,125317.0
Czechia,Europe,10711019.0,17731,390.0,12320.0,5021.0,728670.0
Denmark,Europe,5794279.0,14306,617.0,12787.0,902.0,1654512.0
Estonia,Europe,1326627.0,2124,63.0,1954.0,107.0,122880.0
Faeroe Islands,Europe,48882.0,266,3792.590425531915,192.0,74.0,43045.0
Finland,Europe,5541604.0,7532,331.0,6980.0,221.0,389500.0
France,Europe,65288306.0,195633,30312.0,82460.0,82861.0,3992206.0
Germany,Europe,83811260.0,215210,9252.0,196200.0,9758.0,8586648.0
Gibraltar,Europe,33690.0,190,3792.590425531915,184.0,6.0,23063.0
Greece,Europe,10417673.0,5123,210.0,1374.0,3539.0,619393.0
Hungary,Europe,9657785.0,4597,600.0,3463.0,534.0,352546.0
Iceland,Europe,341465.0,1930,10.0,1825.0,95.0,149693.0
Ireland,Europe,4943200.0,26372,1768.0,23364.0,1240.0,652917.0
Isle of Man,Europe,85078.0,336,24.0,312.0,0.0,8627.0
